tiempo;valor;maker;bp;dx;sq;ma
104.015;1.6796875;1;-0.033508878;-0.273789739;0.074960821;12.87561852
105.65;1.6796875;0;0.100835389;0.943467199;0.890130356;4.452628384
105.67;1.6796875;0;0.071226814;-4.377145994;19.15940705;5.74805149
105.675;1.6796875;0;0.049341084;-4.535799987;20.57348152;6.433681083
107.975;1.6796875;0;-0.000958488;-1.754055173;3.076709551;19.76169837
108.115;1.6796875;0;0.010766857;-2.568690992;6.598173414;1.718221578
108.86;1.6796875;0;0.017624131;-16.20081928;262.4665454;66.96353144
109.01;1.6796875;0;0.003014674;-1.358267097;1.844889507;23.65055382
109.97;1.6796875;1;-0.026792453;-0.159120393;0.0253193;35.48979854
109.975;1.6796875;1;-0.027588055;1.218432662;1.484578153;26.53781423
110.035;1.6796875;0;-0.001123763;-5.512959729;30.39272497;4.580135122
110.055;1.6796875;0;-0.069883211;1.605936715;2.579032733;5.678173168
110.06;1.6796875;0;-0.061853527;3.616605948;13.07983858;6.114167788
110.825;1.6796875;0;0.035896522;-16.82614585;283.1191842;65.64081766
110.98;1.6796875;0;-0.005348642;-1.365884025;1.865639171;20.84413927
112.005;1.6796875;0;-0.027972288;0.205989882;0.042431831;12.71217962
112.9;1.6796875;0;0.015952094;-1.522060846;2.316669218;40.47940042
112.925;1.6796875;0;-0.016605398;-0.621925376;0.386791174;15.31296841
113.045;1.6796875;0;0.014461334;-2.131941907;4.545176294;1.465575719
113.81;1.6796875;0;-0.028942817;0.156068946;0.024357516;13.47291049
113.91;1.6796875;0;0.037496679;-1.356036069;1.838833821;1.211284969
114.34;1.6796875;0;0.090516477;1.706150604;2.910949884;3.761422864
114.69;1.6796875;0;-0.012845064;0.352747206;0.124430592;8.55306626
114.795;1.6796875;1;0.007221839;-2.083232168;4.339856265;0.889082019
115.355;1.6796875;0;0.190960701;11.96552758;143.1738502;42.87555584
116.165;1.6796875;0;0.071219437;-4.259430901;18.1427516;5.433959622
116.44;1.6796875;0;0.033352607;-0.808628823;0.653880573;58.98999952
116.45;1.6796875;0;0.021920927;-1.935085119;3.744554418;48.10583136
116.48;1.6796875;0;-0.029225024;-0.423860392;0.179657632;16.21504059
117.07;1.6796875;0;0.089037868;2.879154746;8.289532051;4.734936713
117.39;1.6796875;0;0.005829274;-1.329234741;1.766864997;26.14846158
118.34;1.6796875;0;0.018047463;-2.159335168;4.662728367;44.39671378
118.35;1.6796875;0;-0.003772203;-1.981801764;3.927538232;25.16216115
119.015;1.6796875;1;0.029764525;-4.224294854;17.84466701;5.768141857
119.115;1.6796875;0;0.165371345;10.17993447;103.6310659;32.15856559
119.315;1.6796875;0;-0.01550825;-0.668218367;0.446515786;11.26420996
120.05;1.6796875;0;0.148634273;11.5614188;133.6664047;38.63220064
120.215;1.6796875;0;0.041138139;-1.219453594;1.487067067;56.1786355
120.23;1.6796875;0;0.014821976;-2.364426629;5.590513282;38.1774236
120.25;1.6796875;0;-0.025892872;-1.080124945;1.166669897;16.32621363
120.9;1.6796875;0;0.085787549;2.70886635;7.337956903;3.986848555
120.935;1.6796875;0;0.030636461;-4.319549836;18.65851079;6.422850873
122.7;1.6796875;0;0.035559044;5.803017476;33.67501182;4.366221866
123.045;1.6796875;0;-0.015209265;-1.031930684;1.064880937;13.43050511
123.655;1.6796875;0;0.047102421;-4.177807826;17.45407823;4.833711702
123.985;1.6796875;0;-0.033998553;-1.405854664;1.976427337;3.383354145
125.365;1.6796875;0;0.036399458;-4.466989563;19.95399576;7.211482403
126.15;1.6796875;0;0.089112502;2.599075837;6.755195207;4.659291642
126.16;1.6796875;0;0.106598847;-0.884709719;0.782711287;4.711473554
126.175;1.6796875;0;0.070991272;-4.446331866;19.76986706;6.022117504
126.54;1.6796875;0;9.57E-05;1.474649958;2.174592499;1.638937555
127.455;1.6796875;0;0.021663402;-1.552587021;2.410526458;1.016293681
128.23;1.6796875;0;0.01027142;0.244450652;0.059756121;65.15160416
128.255;1.6796875;0;0.028368947;0.122678262;0.015049956;47.46834525
130.285;1.6796875;0;0.016110016;-1.431997735;2.050617513;32.29872517
130.315;1.6796875;0;-0.015465123;-0.240617935;0.057896991;11.74707476
130.34;1.6796875;0;-0.017858578;-0.051723186;0.002675288;1.826737851
130.425;1.6796875;0;0.028439943;-1.467475978;2.153485745;0.865976415
131.105;1.6796875;0;0.163410436;12.69870414;161.2570868;39.80181677
